Seasons,Hailsimulationlevel,Cultivar,rep, Y,YR,MCC, MCCR,TM, TDM,TDMR,SC,SCR, ST,MT,LT,LTR,SB,RB,R/S,TE
1,25,Panamera,2,66.08422459,81.9439757,87.58,91.57256378,127,19.65646654,98.21603768,16.57013593,97.70987389,11.11111111,44.44444444,44.44444444,106.6666667,0.480117678,0.109414573,0.227891156,29
1,25,Panamera,3,55.11554975,79.81868348,87.48,98.35844389,127,18.81481481,93.77835989,15.12117316,90.34217678,12.5,37.5,50,100,0.401458943,0.17691411,0.440677966,36
1,25,Tyson,1,42.35051625,82.76595745,87.04,93.59139785,107,17.67352185,83.90459869,14.0495768,84.36805751,66.66666667,25,8.333333333,116.6666667,0.172287126,0.121390297,0.704581359,29
1,25,Tyson,2,30.56531475,76.97052776,89,95.69892473,107,11.97845191,82.62445798,10.46383417,80.60962072,57.14285714,28.57142857,14.28571429,107.1428571,0.152690486,0.021229693,0.139037433,22
1,25,Tyson,3,33.80420385,72.88732394,81.71,93.91954023,99,14.29291586,83.1233059,11.48699351,74.60989787,66.66666667,25,8.333333333,41.66666667,0.266459868,0.061783851,0.231869254,22
2,25,Mondial,1,45.42610002,82.58287976,88.56,93.02521008,114,15.42947963,82.22079822,11.79402113,79.05915519,44.44444444,33.33333333,22.22222222,81.48148148,0.210391703,0.027761907,0.131953428,29
2,25,Mondial,2,36.19934872,59.29558627,86,94.50549451,100,16.86456944,81.88350547,13.03827016,85.75872987,50,37.5,12.5,75,0.141531288,0,0,29
2,25,Mondial,3,47.68515712,71.92118227,88.5,93.12848574,107,16.44599238,87.91310329,13.57647754,90.30152672,54.54545455,36.36363636,9.090909091,63.63636364,0.219917848,0.017963587,0.081683168,36
2,25,Sababa,1,53.99962998,78.98089172,86,94.14340449,106,18.19556452,88.06793461,12.63703608,80.47761742,58.33333333,33.33333333,8.333333333,54.16666667,0.142347815,0.007620916,0.053537285,22
2,25,Sababa,2,36.8253525,76.96245734,85.25,95.57174888,92,14.7628228,89.2309475,11.47784376,90.24470498,50,25,25,81.25,0.24305277,0.013336602,0.054871221,36
2,25,Sababa,3,42.94930247,94.66106779,82.09,83.29781837,99,15.5565263,91.24079119,11.55146438,80.78829635,45.45454545,36.36363636,18.18181818,84.84848485,0.182085446,0.094444917,0.518684604,22
2,25,Panamera,1,37.99570738,67.24470135,89.06,92.08975287,134,17.40687679,90.51752593,13.15348034,88.97496439,25,25,50,130,0.421872109,0.012792251,0.030322581,36
2,25,Panamera,2,51.49561488,93.57072206,85.08,99.03387266,127,17.11104612,92.50945253,13.15410301,90.95936141,22.22222222,33.33333333,44.44444444,111.1111111,0.189434186,0.021501869,0.113505747,36
2,25,Panamera,3,52.01274843,80.76923077,86.79,96.6158299,120,19.42558752,94.81545977,16.12101924,88.74473082,30,20,50,91.66666667,0.195694224,0.095805795,0.489568846,29
2,25,Tyson,1,37.99570738,94.51591063,84.38,91.44900835,106,14.36117371,84.75800245,11.22828223,83.82165701,50,33.33333333,16.66666667,116.6666667,0.148607853,0.030483662,0.205128205,29
2,25,Tyson,2,25.77502499,51.4673913,83.98,95.38845979,99,14.98505226,76.81131943,12.17412919,75.59235031,81.81818182,18.18181818,0,0,0.07593698,0.042187211,0.555555556,22
2,25,Tyson,3,24.550235,54.50151057,80.58,89.7027719,92,14.17981666,84.494537,11.39609744,80.97466512,66.66666667,25,8.333333333,100,0.15486789,0.037832402,0.244288225,22
1,50,Mondial,1,48.50168378,71.91283293,81.15,91.59142212,127,14.95611756,82.1757413,11.36687967,73.32786232,33.33333333,44.44444444,22.22222222,77.77777778,0.198415979,0.060422973,0.304526749,29
1,50,Mondial,2,47.71237467,69.12460568,84.3,88.81163085,107,16.38670893,86.5764455,12.52571026,73.90919518,37.5,50,12.5,68.75,0.274080783,0.055251638,0.201588878,22
